Timestamp,Event,cwnd,sstresh,Phase
2020-04-21 16:34:00.386799,,2920,93440,Slow Start
2020-04-21 16:34:00.492153,,5840,93440,Slow Start
2020-04-21 16:34:00.492248,,11680,93440,Slow Start
2020-04-21 16:34:00.492279,Triple Duplicate,10220,5840,Fast Recovery
2020-04-21 16:34:00.655381,,5840,5840,Congestion Avoidance
2020-04-21 16:34:00.737793,,7300,5840,Congestion Avoidance
2020-04-21 16:34:00.737793,,8760,5840,Congestion Avoidance
2020-04-21 16:34:00.737794,Triple Duplicate,8760,4380,Fast Recovery
2020-04-21 16:34:00.737794,,4380,4380,Congestion Avoidance
2020-04-21 16:34:00.737802,,5840,4380,Congestion Avoidance
2020-04-21 16:34:00.737803,Triple Duplicate,7300,2920,Fast Recovery
2020-04-21 16:34:00.737803,,2920,2920,Congestion Avoidance
2020-04-21 16:34:00.737803,,4380,2920,Congestion Avoidance
2020-04-21 16:34:00.846971,Retransmission,1460,2190,Slow Start
2020-04-21 16:34:00.847033,,2190,2190,Congestion Avoidance
2020-04-21 16:34:00.847033,,3650,2190,Congestion Avoidance
2020-04-21 16:34:00.847034,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:00.847034,,1825,1825,Congestion Avoidance
2020-04-21 16:34:00.847035,,3285,1825,Congestion Avoidance
2020-04-21 16:34:00.847035,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:00.847036,,1642,1642,Congestion Avoidance
2020-04-21 16:34:00.847036,,3102,1642,Congestion Avoidance
2020-04-21 16:34:00.847037,,4562,1642,Congestion Avoidance
2020-04-21 16:34:00.847037,Triple Duplicate,6661,2281,Fast Recovery
2020-04-21 16:34:00.979090,Retransmission,1460,3330,Slow Start
2020-04-21 16:34:00.979250,,2920,3330,Slow Start
2020-04-21 16:34:00.979253,,3330,3330,Congestion Avoidance
2020-04-21 16:34:00.979254,Triple Duplicate,6045,1665,Fast Recovery
2020-04-21 16:34:00.979254,,1665,1665,Congestion Avoidance
2020-04-21 16:34:00.979256,,3125,1665,Congestion Avoidance
2020-04-21 16:34:00.979257,Triple Duplicate,5942,1562,Fast Recovery
2020-04-21 16:34:00.979258,,1562,1562,Congestion Avoidance
2020-04-21 16:34:00.979259,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:00.979259,,1460,1460,Congestion Avoidance
2020-04-21 16:34:00.979261,,2920,1460,Congestion Avoidance
2020-04-21 16:34:00.979262,,4380,1460,Congestion Avoidance
2020-04-21 16:34:00.979263,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.101178,Retransmission,1460,3285,Slow Start
2020-04-21 16:34:01.101337,,2920,3285,Slow Start
2020-04-21 16:34:01.101339,,3285,3285,Congestion Avoidance
2020-04-21 16:34:01.101339,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:01.101340,,1642,1642,Congestion Avoidance
2020-04-21 16:34:01.101341,,3102,1642,Congestion Avoidance
2020-04-21 16:34:01.101342,Triple Duplicate,5931,1551,Fast Recovery
2020-04-21 16:34:01.101342,,1551,1551,Congestion Avoidance
2020-04-21 16:34:01.101343,,3011,1551,Congestion Avoidance
2020-04-21 16:34:01.101344,Triple Duplicate,5885,1505,Fast Recovery
2020-04-21 16:34:01.101345,,1505,1505,Congestion Avoidance
2020-04-21 16:34:01.101345,,2965,1505,Congestion Avoidance
2020-04-21 16:34:01.101347,Triple Duplicate,5862,1482,Fast Recovery
2020-04-21 16:34:01.101348,,1482,1482,Congestion Avoidance
2020-04-21 16:34:01.101349,,2942,1482,Congestion Avoidance
2020-04-21 16:34:01.223173,Retransmission,1460,1471,Slow Start
2020-04-21 16:34:01.223312,,1471,1471,Congestion Avoidance
2020-04-21 16:34:01.223314,,2931,1471,Congestion Avoidance
2020-04-21 16:34:01.223315,Triple Duplicate,5845,1465,Fast Recovery
2020-04-21 16:34:01.223316,,1465,1465,Congestion Avoidance
2020-04-21 16:34:01.223317,,2925,1465,Congestion Avoidance
2020-04-21 16:34:01.223319,Triple Duplicate,5842,1462,Fast Recovery
2020-04-21 16:34:01.223320,,1462,1462,Congestion Avoidance
2020-04-21 16:34:01.223321,,2922,1462,Congestion Avoidance
2020-04-21 16:34:01.223322,Triple Duplicate,5841,1461,Fast Recovery
2020-04-21 16:34:01.223323,,1461,1461,Congestion Avoidance
2020-04-21 16:34:01.223325,,2921,1461,Congestion Avoidance
2020-04-21 16:34:01.223325,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.223460,,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.223461,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.223462,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.223463,,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.345303,Retransmission,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.345360,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.345360,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.345360,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.345361,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.346853,Retransmission,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.346895,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.346895,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.346895,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.346896,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.346896,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.346896,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:01.346897,,1825,1825,Congestion Avoidance
2020-04-21 16:34:01.346897,,3285,1825,Congestion Avoidance
2020-04-21 16:34:01.346897,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:01.346898,,1642,1642,Congestion Avoidance
2020-04-21 16:34:01.346898,,3102,1642,Congestion Avoidance
2020-04-21 16:34:01.347838,Retransmission,1460,1551,Slow Start
2020-04-21 16:34:01.347870,,1551,1551,Congestion Avoidance
2020-04-21 16:34:01.347871,,3011,1551,Congestion Avoidance
