Timestamp,Congestion Event,cwnd,sshthresh
2020-04-21 16:34:00.386799,,2920,93440
2020-04-21 16:34:00.492153,,5840,93440
2020-04-21 16:34:00.492248,,11680,93440
2020-04-21 16:34:00.492279,Triple Duplicate,1460,5840
2020-04-21 16:34:00.655381,,2920,5840
2020-04-21 16:34:00.737793,,5840,5840
2020-04-21 16:34:00.737793,,7300,5840
2020-04-21 16:34:00.737794,Triple Duplicate,1460,3650
2020-04-21 16:34:00.737794,,2920,3650
2020-04-21 16:34:00.737802,,3650,3650
2020-04-21 16:34:00.737803,Triple Duplicate,1460,1825
2020-04-21 16:34:00.737803,,1825,1825
2020-04-21 16:34:00.737803,,3285,1825
2020-04-21 16:34:00.846971,Retransmission,1460,1642
2020-04-21 16:34:00.847033,,1642,1642
2020-04-21 16:34:00.847033,,3102,1642
2020-04-21 16:34:00.847034,Triple Duplicate,1460,1551
2020-04-21 16:34:00.847034,,1551,1551
2020-04-21 16:34:00.847035,,3011,1551
2020-04-21 16:34:00.847035,Triple Duplicate,1460,1505
2020-04-21 16:34:00.847036,,1505,1505
2020-04-21 16:34:00.847036,,2965,1505
2020-04-21 16:34:00.847037,,4425,1505
2020-04-21 16:34:00.847037,Triple Duplicate,1460,2212
2020-04-21 16:34:00.979090,Retransmission,1460,1460
2020-04-21 16:34:00.979250,,2920,1460
2020-04-21 16:34:00.979253,,4380,1460
2020-04-21 16:34:00.979254,Triple Duplicate,1460,2190
2020-04-21 16:34:00.979254,,2190,2190
2020-04-21 16:34:00.979256,,3650,2190
2020-04-21 16:34:00.979257,Triple Duplicate,1460,1825
2020-04-21 16:34:00.979258,,1825,1825
2020-04-21 16:34:00.979259,Triple Duplicate,1460,1460
2020-04-21 16:34:00.979259,,2920,1460
2020-04-21 16:34:00.979261,,4380,1460
2020-04-21 16:34:00.979262,,5840,1460
2020-04-21 16:34:00.979263,Triple Duplicate,1460,2920
2020-04-21 16:34:01.101178,Retransmission,1460,1460
2020-04-21 16:34:01.101337,,2920,1460
2020-04-21 16:34:01.101339,,4380,1460
2020-04-21 16:34:01.101339,Triple Duplicate,1460,2190
2020-04-21 16:34:01.101340,,2190,2190
2020-04-21 16:34:01.101341,,3650,2190
2020-04-21 16:34:01.101342,Triple Duplicate,1460,1825
2020-04-21 16:34:01.101342,,1825,1825
2020-04-21 16:34:01.101343,,3285,1825
2020-04-21 16:34:01.101344,Triple Duplicate,1460,1642
2020-04-21 16:34:01.101345,,1642,1642
2020-04-21 16:34:01.101345,,3102,1642
2020-04-21 16:34:01.101347,Triple Duplicate,1460,1551
2020-04-21 16:34:01.101348,,1551,1551
2020-04-21 16:34:01.101349,,3011,1551
2020-04-21 16:34:01.223173,Retransmission,1460,1505
2020-04-21 16:34:01.223312,,1505,1505
2020-04-21 16:34:01.223314,,2965,1505
2020-04-21 16:34:01.223315,Triple Duplicate,1460,1482
2020-04-21 16:34:01.223316,,1482,1482
2020-04-21 16:34:01.223317,,2942,1482
2020-04-21 16:34:01.223319,Triple Duplicate,1460,1471
2020-04-21 16:34:01.223320,,1471,1471
2020-04-21 16:34:01.223321,,2931,1471
2020-04-21 16:34:01.223322,Triple Duplicate,1460,1465
2020-04-21 16:34:01.223323,,1465,1465
2020-04-21 16:34:01.223325,,2925,1465
2020-04-21 16:34:01.223325,Triple Duplicate,1460,1462
2020-04-21 16:34:01.223460,,1462,1462
2020-04-21 16:34:01.223461,,2922,1462
2020-04-21 16:34:01.223462,Triple Duplicate,1460,1461
2020-04-21 16:34:01.223463,,1461,1461
2020-04-21 16:34:01.345303,Retransmission,1460,1460
2020-04-21 16:34:01.345360,,2920,1460
2020-04-21 16:34:01.345360,,4380,1460
2020-04-21 16:34:01.345360,Triple Duplicate,1460,2190
2020-04-21 16:34:01.345361,,2190,2190
2020-04-21 16:34:01.346853,Retransmission,1460,1460
2020-04-21 16:34:01.346895,,2920,1460
2020-04-21 16:34:01.346895,,4380,1460
2020-04-21 16:34:01.346895,Triple Duplicate,1460,2190
2020-04-21 16:34:01.346896,,2190,2190
2020-04-21 16:34:01.346896,,3650,2190
2020-04-21 16:34:01.346896,Triple Duplicate,1460,1825
2020-04-21 16:34:01.346897,,1825,1825
2020-04-21 16:34:01.346897,,3285,1825
2020-04-21 16:34:01.346897,Triple Duplicate,1460,1642
2020-04-21 16:34:01.346898,,1642,1642
2020-04-21 16:34:01.346898,,3102,1642
2020-04-21 16:34:01.347838,Retransmission,1460,1551
2020-04-21 16:34:01.347870,,1551,1551
2020-04-21 16:34:01.347871,,3011,1551
2020-04-21 16:34:01.347871,Triple Duplicate,1460,1505
2020-04-21 16:34:01.347871,,1505,1505
2020-04-21 16:34:01.347871,,2965,1505
2020-04-21 16:34:01.347872,Triple Duplicate,1460,1482
2020-04-21 16:34:01.349743,Retransmission,1460,1460
2020-04-21 16:34:01.349771,,2920,1460
2020-04-21 16:34:01.349771,,4380,1460
2020-04-21 16:34:01.459840,Retransmission,1460,2190
2020-04-21 16:34:01.459963,,2190,2190
2020-04-21 16:34:01.459964,,3650,2190
2020-04-21 16:34:01.459965,Triple Duplicate,1460,1825
2020-04-21 16:34:01.459966,,1825,1825
2020-04-21 16:34:01.459967,,3285,1825
2020-04-21 16:34:01.459968,Triple Duplicate,1460,1642
2020-04-21 16:34:01.461498,Retransmission,1460,1460
2020-04-21 16:34:01.461638,,2920,1460
2020-04-21 16:34:01.461639,,4380,1460
2020-04-21 16:34:01.461640,Triple Duplicate,1460,2190
2020-04-21 16:34:01.461641,,2190,2190
2020-04-21 16:34:01.461642,,3650,2190
2020-04-21 16:34:01.461643,Triple Duplicate,1460,1825
2020-04-21 16:34:01.461644,,1825,1825
2020-04-21 16:34:01.461645,,3285,1825
2020-04-21 16:34:01.461646,Triple Duplicate,1460,1642
2020-04-21 16:34:01.461647,,1642,1642
2020-04-21 16:34:01.461647,,3102,1642
2020-04-21 16:34:01.461649,Triple Duplicate,1460,1551
2020-04-21 16:34:01.461650,,1551,1551
2020-04-21 16:34:01.462918,Retransmission,1460,1460
2020-04-21 16:34:01.463042,,2920,1460
2020-04-21 16:34:01.463044,,4380,1460
2020-04-21 16:34:01.463045,Triple Duplicate,1460,2190
2020-04-21 16:34:01.463046,,2190,2190
2020-04-21 16:34:01.463047,,3650,2190
2020-04-21 16:34:01.463047,Triple Duplicate,1460,1825
2020-04-21 16:34:01.463048,,1825,1825
2020-04-21 16:34:01.463049,,3285,1825
2020-04-21 16:34:01.463561,Retransmission,1460,1642
2020-04-21 16:34:01.463672,,1642,1642
2020-04-21 16:34:01.463674,,3102,1642
2020-04-21 16:34:01.463675,Triple Duplicate,1460,1551
2020-04-21 16:34:01.463676,,1551,1551
2020-04-21 16:34:01.585929,Retransmission,1460,1460
2020-04-21 16:34:01.586060,,2920,1460
2020-04-21 16:34:01.586061,,4380,1460
2020-04-21 16:34:01.586061,Triple Duplicate,1460,2190
2020-04-21 16:34:01.586062,,2190,2190
2020-04-21 16:34:01.586063,Triple Duplicate,1460,1460
2020-04-21 16:34:01.586063,,2920,1460
2020-04-21 16:34:01.586064,,4380,1460
2020-04-21 16:34:01.586065,,5840,1460
2020-04-21 16:34:01.587381,Retransmission,1460,2920
2020-04-21 16:34:01.587526,,2920,2920
2020-04-21 16:34:01.587527,,4380,2920
